a name,year_birth,age,log_age,bm_before,bm_after,hibdur days,hibstart,hibend,hibendyearbefore,bmspring,year,sex,diet,age death,repro_active
64,2007,6,0.7782,206,135,280,21.08.13,28.05.14,24.04.13,128,2013,f,medium,,yes
64,2007,7,0.8451,216,142,273,13.08.14,13.05.15,28.05.14,135,2014,f,medium,,no
65,2007,1,0,181,110,313,29.08.08,08.07.09,16.06.08,98,2008,f,medium,8,no
65,2007,2,0.301,152,98,265,09.09.09,01.06.10,08.07.09,110,2009,f,protein,8,no
65,2007,3,0.4771,222,173,274,07.09.10,08.06.11,01.06.10,98,2010,f,high fat,8,no
65,2007,4,0.6021,223,163,230,09.11.11,26.06.12,08.06.11,173,2011,f,high fat,8,no
65,2007,5,0.699,189,138,288,28.08.12,12.06.13,26.06.12,163,2012,f,medium,8,no
65,2007,6,0.7782,202,141,287,28.08.13,11.06.14,12.06.13,138,2013,f,medium,8,no
66,2010,1,0,180,101,272,05.10.11,03.07.12,07.07.11,78,2011,f,high fat,,no
66,2010,2,0.301,181,129,288,28.08.12,12.06.13,03.07.12,101,2012,f,medium,,no
66,2010,3,0.4771,198,129,308,14.08.13,18.06.14,12.06.13,129,2013,f,medium,,no
66,2010,4,0.6021,210,145,329,30.07.14,24.06.15,18.06.14,129,2014,f,high fat,,no
67,2010,1,0,173,123,272,05.10.11,03.07.12,15.06.11,78,2011,f,high fat,4,no
67,2010,2,0.301,174,116,323,24.07.12,12.06.13,03.07.12,123,2012,f,medium,4,no
67,2010,3,0.4771,173,122,273,18.09.13,18.06.14,12.06.13,116,2013,f,medium,4,yes
68,2010,1,0,216,131,258,05.10.11,19.06.12,22.06.11,91,2011,f,high fat,4,no
68,2010,2,0.301,193,121,232,04.09.12,24.04.13,19.06.12,131,2012,f,medium,4,no
68,2010,3,0.4771,177,139,357,29.05.13,21.05.14,24.04.13,121,2013,f,medium,4,no
69,2010,1,0,179,112,265,12.10.11,03.07.12,07.07.11,97,2011,f,high fat,5,no
69,2010,2,0.301,159,120,309,14.08.12,19.06.13,03.07.12,112,2012,f,medium,5,no
