subject_name,tactic.aggregate,season.year,tactic.season,year.begin,year.end,n.fixes,year.mean,year.max,year.delta,year.mcp.area,mu.daily.disp,subject_sex,subject_ageClass,centroid.dist.meters,tactic.prev,tactic.change
Tarime,1,2019,1,2019-04-01,2019-11-16,5482,0.0000,0.0000,0.0000,64605.84,5270.01,female,young adult,6784.25,1,0
Ukungu,1,2018,1,2018-04-17,2019-03-31,8257,0.0041,0.0125,0.0125,192106.08,5467.53,male,mature adult,8932.65,NA,NA
Ukungu,1,2019,1,2019-04-01,2019-08-05,3022,0.0030,0.0042,0.0042,265278.82,5795.60,male,mature adult,13213.15,1,0
Ukwaju,3,2018,3,2018-04-17,2019-03-31,8298,0.1048,0.2120,0.2120,402673.56,5083.91,female,mature adult,6267.70,NA,NA
Ukwaju,3,2019,3,2019-04-01,2019-11-16,5483,0.1362,0.1838,0.1824,126064.11,5274.33,female,mature adult,1230.37,3,0
Vurugu,4,2019,4,2019-06-04,2019-11-16,3935,0.2381,0.2778,0.1611,359450.90,5908.75,male,young adult,4275.18,NA,NA
Alina,1,2015,1,2015-12-25,2016-03-31,2334,0.0000,0.0074,0.0074,43382.86,7299.40,female,young adult,10616.48,NA,NA
Alina,1,2016,1,2016-04-01,2017-03-31,8721,0.0071,0.0181,0.0181,106148.95,6969.65,female,young adult,8637.71,1,0
Alina,1,2017,1,2017-04-01,2018-03-31,8743,0.0045,0.0144,0.0144,84199.66,6584.09,female,young adult,8423.33,1,0
Alina,1,2018,1,2018-04-01,2018-11-10,5361,0.0071,0.0139,0.0139,78660.26,6137.29,female,young adult,5769.45,1,0
Bobo,4,2014,4,2014-05-15,2015-03-31,6862,0.1486,0.1995,0.1009,30205.64,7171.12,male,mature adult,308.87,NA,NA
Bobo,4,2015,4,2015-04-01,2016-02-24,6191,0.1232,0.2102,0.1644,48970.08,7758.94,male,mature adult,42.43,4,0
Caroline,3,2011,3,2011-12-10,2012-03-30,2247,0.0863,0.0935,0.0245,9409.46,5311.74,female,young adult,308.87,NA,NA
